"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L2764","VolumeId","org.apache.hadoop.fs.VolumeId","L123","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\fs\VolumeId.java","27","1","40","2","0","0","0","0","0","0","0","0","0","0","0","3","0","6","1","0","3","0.25","0.285714","4","4","1","3","0.285714","4","0","0","1","1","0","10","14","0","0","0","0","3","0","3","0","3","0","0","3","0","10","14","0","0","0","0","3","0","3","0","3","0","0","3","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L28739","BlockReader","org.apache.hadoop.hdfs.BlockReader","L7832","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\BlockReader.java","31","1","100","2","0","0","0","0","0","0","0","0","0","0","0","9","1","18","18","0","9","1","0.828125","53","53","10","0","0.828125","53","0","0","4","4","0","11","70","0","1","0","1","9","0","9","0","9","0","0","9","0","11","70","0","1","0","1","9","0","9","0","9","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L28767","RemotePeerFactory","org.apache.hadoop.hdfs.RemotePeerFactory","L7832","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\RemotePeerFactory.java","28","1","41","2","0","0","0","0","0","0","0","0","0","0","0","1","3","12","1","0","1","0.5","0.642857","9","9","1","1","0.642857","9","0","0","6","6","0","5","14","0","0","0","0","1","0","1","0","1","0","0","1","0","5","14","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L83382","PipelineTest","org.apache.hadoop.fi.PipelineTest","L92048","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-hdfs-project\hadoop-hdfs\src\test\aop\org\apache\hadoop\fi\PipelineTest.java","24","1","27","2","0","0","0","0","0","0","0","0","0","0","0","2","3","5","1","0","2","0.333333","0.2","1","1","1","2","0.2","1","0","0","1","3","0","4","4","0","1","0","1","2","0","2","0","2","0","0","2","0","4","4","0","1","0","1","2","0","2","0","2","0","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2508","Service","org.apache.hadoop.lib.server.Service","L4991","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-hdfs-project\hadoop-hdfs-httpfs\src\main\java\org\apache\hadoop\lib\server\Service.java","26","1","82","2","0","0","0","0","0","0","0","0","0","0","0","6","3","6","8","0","6","1","0.830189","44","44","7","0","0.830189","44","0","0","4","20","0","9","57","0","2","0","2","6","0","6","0","6","0","0","6","0","9","57","0","2","0","2","6","0","6","0","6","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L1516","FileSystemAccess","org.apache.hadoop.lib.service.FileSystemAccess","L5566","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-hdfs-project\hadoop-hdfs-httpfs\src\main\java\org\apache\hadoop\lib\service\FileSystemAccess.java","27","1","44","2","0","0","0","0","0","0","0","0","0","0","0","4","2","35","9","0","4","0","0","0","0","0","5","0","0","0","0","1","1","0","8","14","0","1","0","1","4","0","4","0","4","0","0","4","0","11","18","0","1","0","1","5","0","5","0","5","0","0","5","0","0","0","17","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2307","Groups","org.apache.hadoop.lib.service.Groups","L5566","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-hdfs-project\hadoop-hdfs-httpfs\src\main\java\org\apache\hadoop\lib\service\Groups.java","26","1","31","2","0","0","0","0","0","0","0","0","0","0","0","1","0","4","2","0","1","0","0","0","0","0","2","0","0","0","0","2","2","0","4","6","0","1","0","1","1","0","1","0","1","0","0","1","0","4","6","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L2319","Instrumentation","org.apache.hadoop.lib.service.Instrumentation","L5566","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-hdfs-project\hadoop-hdfs-httpfs\src\main\java\org\apache\hadoop\lib\service\Instrumentation.java","25","1","53","2","0","0","0","0","0","0","0","0","0","0","0","6","2","18","6","0","6","0.142857","0.1","1","1","1","6","0.0588235","1","0","0","1","1","0","9","19","0","1","0","1","6","0","6","0","6","0","0","6","0","16","29","0","2","0","2","9","0","9","0","9","0","0","9","0","0","0","25","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L5734","Scheduler","org.apache.hadoop.lib.service.Scheduler","L5566","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-hdfs-project\hadoop-hdfs-httpfs\src\main\java\org\apache\hadoop\lib\service\Scheduler.java","26","1","33","2","0","0","0","0","0","0","0","0","0","0","0","2","0","4","2","0","2","0","0","0","0","0","3","0","0","0","0","1","1","0","5","8","0","0","0","0","2","0","2","0","2","0","0","2","0","5","8","0","0","0","0","2","0","2","0","2","0","0","2","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L7332","HTestCase$Predicate","org.apache.hadoop.test.HTestCase$Predicate","L2636","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.6.0\hadoop-hdfs-project\hadoop-hdfs-httpfs\src\test\java\org\apache\hadoop\test\HTestCase.java","86","3","97","4","0","0","0","0","0","0","0","0","0","0","0","1","0","9","1","0","1","1","0.785714","11","11","2","0","0.785714","11","0","0","6","6","0","3","12","0","0","0","0","1","0","1","0","1","0","0","1","0","3","12","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
