"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L2492","CacheFlag","org.apache.hadoop.fs.CacheFlag","L107","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\fs\CacheFlag.java","27","1","44","2","0","0","0","0","0","0","0","0","0","0","0","2","0","17","0","0","2","1","0.368421","7","7","1","0","0.368421","7","0","0","0","0","0","12","18","2","1","2","1","2","1","0","0","2","2","1","0","0","12","18","2","1","2","1","2","1","0","0","2","2","1","0","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L37483","StorageType","org.apache.hadoop.hdfs.StorageType","L7097","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\StorageType.java","28","1","35","2","0","0","0","0","0","0","0","0","0","0","0","0","0","27","0","0","0","1","0.363636","4","4","1","0","0.363636","4","0","0","0","0","0","7","8","3","0","3","0","0","3","0","0","0","0","3","0","0","7","8","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0"
"L53667","DomainSocketFactory$PathStatus","org.apache.hadoop.hdfs.DomainSocketFactory$PathStatus","L49948","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-hdfs-project\hadoop-hdfs\src\main\java\org\apache\hadoop\hdfs\DomainSocketFactory.java","37","3","40","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","4","4","2","0","2","0","0","2","0","0","0","0","2","0","0","4","4","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L71098","TestDFSPermission$OpType","org.apache.hadoop.hdfs.TestDFSPermission$OpType","L71033","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\hdfs\TestDFSPermission.java","356","3","358","4","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","11","0","11","0","0","11","0","0","0","0","11","0","0","3","3","11","0","11","0","0","11","0","0","0","0","11","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L71423","TestDFSPermission$InodeType","org.apache.hadoop.hdfs.TestDFSPermission$InodeType","L71033","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\hdfs\TestDFSPermission.java","799","3","801","4","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","3","3","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L72525","TestFileConcurrentReader$SyncType","org.apache.hadoop.hdfs.TestFileConcurrentReader$SyncType","L72522","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\hdfs\TestFileConcurrentReader.java","56","3","59","4","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","4","4","2","0","2","0","0","2","0","0","0","0","2","0","0","4","4","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L72765","TestFileCreation$CreationMethod","org.apache.hadoop.hdfs.TestFileCreation$CreationMethod","L72656","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-hdfs-project\hadoop-hdfs\src\test\java\org\apache\hadoop\hdfs\TestFileCreation.java","1112","3","1116","4","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","5","5","3","0","3","0","0","3","0","0","0","0","3","0","0","5","5","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L4036","TestXException$TestERROR","org.apache.hadoop.lib.lang.TestXException$TestERROR","L4034","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-hdfs-project\hadoop-hdfs-httpfs\src\test\java\org\apache\hadoop\lib\lang\TestXException.java","30","3","37","4","0","0","0","0","0","0","0","0","0","0","0","1","2","1","0","0","1","0","0","0","0","0","2","0","0","1","1","0","0","1","7","8","1","1","1","1","1","1","1","0","1","1","1","1","0","7","8","1","1","1","1","1","1","1","0","1","1","1","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L2398","Server$Status","org.apache.hadoop.lib.server.Server$Status","L2388","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-hdfs-project\hadoop-hdfs-httpfs\src\main\java\org\apache\hadoop\lib\server\Server.java","102","3","135","4","0","0","0","0","0","0","0","0","1","0","0","2","0","11","1","0","2","1","0.441176","15","15","2","0","0.441176","15","0","0","0","0","0","19","34","9","0","9","0","2","7","1","0","2","3","7","1","0","19","34","9","0","9","0","2","7","1","0","2","3","7","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L4368","ServerException$ERROR","org.apache.hadoop.lib.server.ServerException$ERROR","L2251","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.3.0\hadoop-hdfs-project\hadoop-hdfs-httpfs\src\main\java\org\apache\hadoop\lib\server\ServerException.java","33","3","71","4","0","0","0","0","0","0","0","0","0","0","0","2","2","5","0","0","2","1","0.333333","13","13","2","0","0.333333","13","1","1","0","0","1","26","39","15","1","15","1","2","14","1","0","2","2","14","1","0","26","39","15","1","15","1","2","14","1","0","2","2","14","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0"
