"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L13904","ContainerLogsRetentionPolicy","org.apache.hadoop.yarn.logaggregation.ContainerLogsRetentionPolicy","L39929","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-common\src\main\java\org\apache\hadoop\yarn\logaggregation\ContainerLogsRetentionPolicy.java","23","1","29","2","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0.428571","3","3","0","1","0.428571","3","0","0","0","0","0","4","7","3","0","3","0","0","3","0","0","0","0","3","0","0","4","7","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L311","ApplicationConstants$Environment","org.apache.hadoop.yarn.api.ApplicationConstants$Environment","L294","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\ApplicationConstants.java","78","3","217","4","0","0","0","0","0","0","0","0","1","1","1","5","0","7","5","0","4","0.25","0.672131","82","82","1","3","0.672131","82","0","0","0","0","0","40","140","22","0","22","0","4","21","3","0","4","6","21","3","0","40","140","22","0","22","0","4","21","3","0","4","6","21","3","0","0","0","16","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","7","0","0","0","0","0"
"L575","AMCommand","org.apache.hadoop.yarn.api.records.AMCommand","L3063","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\AMCommand.java","30","1","45","2","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","1","0.7","14","14","1","0","0.7","14","0","0","0","0","0","6","16","2","0","2","0","0","2","0","0","0","0","2","0","0","6","16","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L986","ApplicationAccessType","org.apache.hadoop.yarn.api.records.ApplicationAccessType","L3063","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\ApplicationAccessType.java","26","1","42","2","0","0","0","0","0","0","0","0","0","0","0","0","0","34","0","0","0","1","0.666667","12","12","1","0","0.666667","12","0","0","0","0","0","6","17","2","0","2","0","0","2","0","0","0","0","2","0","0","6","17","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L3641","ContainerState","org.apache.hadoop.yarn.api.records.ContainerState","L3063","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\ContainerState.java","27","1","38","2","0","0","0","0","0","0","0","0","0","0","0","0","0","37","0","0","0","1","0.461538","6","6","1","0","0.461538","6","0","0","0","0","0","7","12","3","0","3","0","0","3","0","0","0","0","3","0","0","7","12","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L655","FinalApplicationStatus","org.apache.hadoop.yarn.api.records.FinalApplicationStatus","L3063","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\FinalApplicationStatus.java","27","1","42","2","0","0","0","0","0","0","0","0","0","0","0","0","0","33","0","0","0","1","0.466667","7","7","1","0","0.466667","7","0","0","0","0","0","8","16","4","0","4","0","0","4","0","0","0","0","4","0","0","8","16","4","0","4","0","0","4","0","0","0","0","4","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L3711","LocalResourceType","org.apache.hadoop.yarn.api.records.LocalResourceType","L3063","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\LocalResourceType.java","48","1","70","2","0","0","0","0","0","0","0","0","0","0","0","0","0","23","0","0","0","1","0.837209","36","36","1","0","0.837209","36","0","0","0","0","0","7","23","3","0","3","0","0","3","0","0","0","0","3","0","0","7","23","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L3715","LocalResourceVisibility","org.apache.hadoop.yarn.api.records.LocalResourceVisibility","L3063","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\LocalResourceVisibility.java","48","1","65","2","0","0","0","0","0","0","0","0","0","0","0","0","0","35","0","0","0","1","0.820513","32","32","1","0","0.820513","32","0","0","0","0","0","7","18","3","0","3","0","0","3","0","0","0","0","3","0","0","7","18","3","0","3","0","0","3","0","0","0","0","3","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L788","NodeState","org.apache.hadoop.yarn.api.records.NodeState","L3063","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\NodeState.java","27","1","51","2","0","0","0","0","0","0","0","0","1","0","0","3","0","36","0","0","1","0.5","0.409091","9","9","1","1","0.409091","9","0","0","0","0","0","13","25","6","0","6","0","1","6","1","0","1","1","6","1","0","13","25","6","0","6","0","1","6","1","0","1","1","6","1","0","0","0","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0"
"L4013","QueueACL","org.apache.hadoop.yarn.api.records.QueueACL","L3063","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\QueueACL.java","42","1","54","2","0","0","0","0","0","0","0","0","0","0","0","0","0","31","0","0","0","1","0.793103","23","23","1","0","0.793103","23","0","0","0","0","0","6","13","2","0","2","0","0","2","0","0","0","0","2","0","0","6","13","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L4042","QueueState","org.apache.hadoop.yarn.api.records.QueueState","L3063","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\QueueState.java","38","1","50","2","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","1","0.76","19","19","1","0","0.76","19","0","0","0","0","0","6","13","2","0","2","0","0","2","0","0","0","0","2","0","0","6","13","2","0","2","0","0","2","0","0","0","0","2","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L735","YarnApplicationState","org.apache.hadoop.yarn.api.records.YarnApplicationState","L3063","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.2.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\records\YarnApplicationState.java","27","1","53","2","0","0","0","0","0","0","0","0","0","0","0","0","0","31","0","0","0","1","0.478261","11","11","1","0","0.478261","11","0","0","0","0","0","12","27","8","0","8","0","0","8","0","0","0","0","8","0","0","12","27","8","0","8","0","0","8","0","0","0","0","8","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0"
