"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","HCPL","HDIF","HEFF","HNDB","HPL","HPV","HTRP","HVOL","MI","MIMS","MISEI","MISM","McCC","NL","NLE","NII","NOI","CD","CLOC","DLOC","TCD","TCLOC","LLOC","LOC","NOS","NUMPAR","TLLOC","TLOC","TNOS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L152","void setCmd(String cmd)","org.apache.hadoop.ant.DfsTask.setCmd(Ljava/lang/String;)V","L132","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-ant\src\main\java\org\apache\hadoop\ant\DfsTask.java","72","3","74","4","0","0","0","0","0","0","0","0","41.2193","6.25","380.736","52.531","16","14","21.152","60.9177","131.603","76.9608","160.322","93.7558","1","0","0","1","0","0.571429","4","4","0.571429","4","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L154","void setArgs(String args)","org.apache.hadoop.ant.DfsTask.setArgs(Ljava/lang/String;)V","L132","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-ant\src\main\java\org\apache\hadoop\ant\DfsTask.java","80","3","83","4","0","0","0","0","0","0","0","0","44.8289","7","601.661","71.2691","22","15","33.4256","85.9516","124.922","73.054","149.184","87.2422","2","1","1","1","0","0.5","4","4","0.5","4","4","4","2","1","4","4","2","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L243","void setOut(String outprop)","org.apache.hadoop.ant.DfsTask.setOut(Ljava/lang/String;)V","L132","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-ant\src\main\java\org\apache\hadoop\ant\DfsTask.java","90","3","95","4","0","0","0","0","0","0","0","0","63.6155","9.75","1159.68","110.381","28","19","64.4269","118.942","116.665","68.2249","136.047","79.5597","2","1","1","0","0","0.454545","5","5","0.454545","5","6","6","4","1","6","6","4","0","0","0","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L257","void setErr(String errprop)","org.apache.hadoop.ant.DfsTask.setErr(Ljava/lang/String;)V","L132","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-ant\src\main\java\org\apache\hadoop\ant\DfsTask.java","103","3","106","4","0","0","0","0","0","0","0","0","68.8127","10.5","1270.65","117.314","28","20","70.5915","121.014","123.143","72.0136","148.763","86.9959","2","0","0","0","0","0.6","6","6","0.6","6","4","4","2","1","4","4","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L260","void setConf(String confpath)","org.apache.hadoop.ant.DfsTask.setConf(Ljava/lang/String;)V","L132","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-ant\src\main\java\org\apache\hadoop\ant\DfsTask.java","114","3","125","4","0","0","0","0","0","0","0","0","75.6096","14.4","1897.48","153.268","30","21","105.416","131.77","111.472","65.188","127.775","74.7221","2","1","1","1","0","0.428571","6","6","0.333333","6","8","8","4","1","12","12","5","0","0","5","0","1","0","0","1","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L288","void setFailonerror(boolean failonerror)","org.apache.hadoop.ant.DfsTask.setFailonerror(Z)V","L132","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-ant\src\main\java\org\apache\hadoop\ant\DfsTask.java","133","3","135","4","0","0","0","0","0","0","0","0","24.4064","4.66667","170.526","30.751","11","10","9.47365","36.5412","134.261","78.515","165.777","96.9457","1","0","0","0","0","0.666667","6","6","0.666667","6","3","3","1","1","3","3","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L292","void pushContext()","org.apache.hadoop.ant.DfsTask.pushContext()V","L132","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-ant\src\main\java\org\apache\hadoop\ant\DfsTask.java","141","3","146","4","0","0","0","0","0","0","0","0","72.9545","10","1844.77","150.416","42","21","102.487","184.477","114.382","66.8903","131.041","76.6321","2","0","0","1","0","0.4","4","4","0.4","4","6","6","4","0","6","6","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L306","void popContext()","org.apache.hadoop.ant.DfsTask.popContext()V","L132","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-ant\src\main\java\org\apache\hadoop\ant\DfsTask.java","153","3","164","4","0","0","0","0","0","0","0","0","101.409","9.69231","2949.49","205.667","64","27","163.861","304.313","102.584","59.9908","113.54","66.3978","6","1","1","1","0","0.375","6","5","0.375","6","10","12","8","0","10","12","8","0","0","0","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L169","int postCmd(int exit_code)","org.apache.hadoop.ant.DfsTask.postCmd(I)I","L132","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-ant\src\main\java\org\apache\hadoop\ant\DfsTask.java","167","3","171","4","0","0","0","0","0","0","0","0","57.7052","7.07143","648.721","74.9386","22","18","36.0401","91.7384","120.739","70.6074","128.35","75.0585","3","1","1","2","0","0.166667","1","1","0.166667","1","5","5","3","1","5","5","3","0","0","2","0","2","0","0","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0"
"L174","void execute()","org.apache.hadoop.ant.DfsTask.execute()V","L132","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-ant\src\main\java\org\apache\hadoop\ant\DfsTask.java","177","3","209","4","0","0","0","0","0","0","0","0","271.764","31.6667","24090.8","834.132","131","56","1338.38","760.763","80.3413","46.9832","66.5993","38.9469","7","3","3","1","4","0.121212","4","4","0.121212","4","29","33","21","0","29","33","21","0","0","2","1","6","0","0","3","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","1","2","0","0","0"
"L451","void setConf(Configuration conf)","org.apache.hadoop.tools.HadoopArchives.setConf(LConfiguration;)V","L417","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-archives\src\main\java\org\apache\hadoop\tools\HadoopArchives.java","112","3","126","4","0","0","0","0","0","0","0","0","104.711","17.8125","4319.52","265.231","51","27","239.973","242.499","102.911","60.1818","105.935","61.9504","3","1","1","1","0","0.214286","3","0","0.214286","3","11","15","6","1","11","15","6","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L458","Configuration getConf()","org.apache.hadoop.tools.HadoopArchives.getConf()LConfiguration;","L417","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-archives\src\main\java\org\apache\hadoop\tools\HadoopArchives.java","128","3","130","4","0","0","0","0","0","0","0","0","17.5098","3","72","17.307","8","8","4","24","136.447","79.7933","121.252","70.9075","1","0","0","1","0","0","0","0","0","0","3","3","1","0","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L459","HadoopArchives(Configuration conf)","org.apache.hadoop.tools.HadoopArchives.<init>(LConfiguration;)V","L417","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-tools\hadoop-archives\src\main\java\org\apache\hadoop\tools\HadoopArchives.java","132","3","134","4","0","0","0","0","0","0","0","0","17.5098","4.5","135","26.3162","10","8","7.5","30","135.286","79.1148","119.578","69.9285","1","0","0","3","1","0","0","0","0","0","3","3","1","1","3","3","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
