"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L4545","GroupMappingServiceProvider","org.apache.hadoop.security.GroupMappingServiceProvider","L430","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\GroupMappingServiceProvider.java","31","1","55","2","0","0","0","0","0","0","0","0","0","0","0","3","4","11","11","0","3","1","0.714286","20","20","4","0","0.714286","20","0","0","7","15","0","8","25","1","1","1","1","3","1","3","0","3","0","1","3","0","8","25","1","1","1","1","3","1","3","0","3","0","1","3","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L4969","IdMappingServiceProvider","org.apache.hadoop.security.IdMappingServiceProvider","L430","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\IdMappingServiceProvider.java","31","1","56","2","0","0","0","0","0","0","0","0","0","0","0","6","4","2","1","0","6","1","0.583333","14","14","7","0","0.583333","14","0","0","1","1","0","10","26","0","6","0","6","6","0","6","0","6","0","0","6","0","10","26","0","6","0","6","6","0","6","0","6","0","0","6","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L5397","RefreshUserMappingsProtocol","org.apache.hadoop.security.RefreshUserMappingsProtocol","L430","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\security\RefreshUserMappingsProtocol.java","32","1","56","2","0","0","0","0","0","0","0","0","0","0","0","2","6","2","2","0","2","1","0.576923","15","15","3","0","0.576923","15","0","0","1","1","0","11","25","1","0","1","0","2","1","2","0","2","0","1","2","0","11","25","1","0","1","0","2","1","2","0","2","0","1","2","0","0","0","4","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0"
"L13475","GSet<K extends Object, E extends K>","org.apache.hadoop.util.GSet","L11276","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\util\GSet.java","34","1","90","2","0","0","0","0","0","0","0","0","0","0","0","6","2","5","16","0","6","0.857143","0.836066","51","51","6","1","0.836066","51","0","0","4","5","0","10","57","1","0","1","0","6","1","6","0","6","0","1","6","0","10","57","1","0","1","0","6","1","6","0","6","0","1","6","0","0","0","7","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","1","0","0","0","0","0","0","0","1","0","0","0","4","0","0","0","0","0"
"L13847","IdGenerator","org.apache.hadoop.util.IdGenerator","L11276","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\util\IdGenerator.java","26","1","31","2","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","1","0.555556","5","5","2","0","0.555556","5","0","0","0","0","0","4","6","0","0","0","0","1","0","1","0","1","0","0","1","0","4","6","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13645","IndexedSortable","org.apache.hadoop.util.IndexedSortable","L11276","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\util\IndexedSortable.java","27","1","41","2","0","0","0","0","0","0","0","0","0","0","0","2","4","6","6","0","2","1","0.647059","11","11","3","0","0.647059","11","0","0","3","3","0","6","15","0","0","0","0","2","0","2","0","2","0","0","2","0","6","15","0","0","0","0","2","0","2","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13639","IndexedSorter","org.apache.hadoop.util.IndexedSorter","L11276","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\util\IndexedSorter.java","30","1","51","2","0","0","0","0","0","0","0","0","0","0","0","2","6","3","7","0","2","1","0.769231","20","20","3","0","0.769231","20","0","0","2","2","0","6","22","0","0","0","0","2","0","2","0","2","0","0","2","0","6","22","0","0","0","0","2","0","2","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12378","IPList","org.apache.hadoop.util.IPList","L11276","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\util\IPList.java","23","1","33","2","0","0","0","0","0","0","0","0","0","0","0","1","4","4","7","0","1","0.5","0.5","5","5","1","1","0.5","5","0","0","3","3","0","5","11","0","0","0","0","1","0","1","0","1","0","0","1","0","5","11","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13666","Progressable","org.apache.hadoop.util.Progressable","L11276","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\util\Progressable.java","33","1","40","2","0","0","0","0","0","0","0","0","0","0","0","1","4","45","4","0","1","1","0.705882","12","12","2","0","0.705882","12","0","0","3","3","0","5","8","0","0","0","0","1","0","1","0","1","0","0","1","0","5","8","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L15495","ServicePlugin","org.apache.hadoop.util.ServicePlugin","L11276","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.7.0\hadoop-common-project\hadoop-common\src\main\java\org\apache\hadoop\util\ServicePlugin.java","36","1","51","2","0","0","0","0","0","0","0","0","0","0","0","2","4","0","0","0","2","1","0.76","19","19","3","0","0.76","19","0","0","0","0","0","6","16","0","0","0","0","2","0","2","0","2","0","0","2","0","6","16","0","0","0","0","2","0","2","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
