"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L191","ApplicationClientProtocol","org.apache.hadoop.yarn.api.ApplicationClientProtocol","L158","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\ApplicationClientProtocol.java","83","1","546","2","0","0","0","0","0","0","0","0","0","0","0","17","35","25","60","0","17","1","0.774336","350","350","18","0","0.774336","350","0","0","3","8","0","102","464","0","12","0","12","17","0","17","0","17","0","0","17","0","102","464","0","12","0","12","17","0","17","0","17","0","0","17","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0"
"L352","ApplicationConstants","org.apache.hadoop.yarn.api.ApplicationConstants","L158","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\ApplicationConstants.java","33","1","273","2","0","0","0","0","0","0","0","0","0","0","0","0","0","12","0","0","0","1","0.681159","47","47","1","0","0.682464","144","0","0","0","0","0","22","80","10","0","10","0","0","10","0","0","0","0","10","0","0","67","241","32","0","32","0","5","31","4","0","5","7","31","4","0","0","0","21","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","14","0","0","0","0","0"
"L444","ApplicationHistoryProtocol","org.apache.hadoop.yarn.api.ApplicationHistoryProtocol","L158","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\ApplicationHistoryProtocol.java","59","1","334","2","0","0","0","0","0","0","0","0","0","0","0","9","19","7","22","0","9","1","0.846154","231","231","10","0","0.846154","231","0","0","2","2","0","42","276","0","7","0","7","9","0","9","0","9","0","0","9","0","42","276","0","7","0","7","9","0","9","0","9","0","0","9","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L473","ApplicationMasterProtocol","org.apache.hadoop.yarn.api.ApplicationMasterProtocol","L158","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\ApplicationMasterProtocol.java","48","1","169","2","0","0","0","0","0","0","0","0","0","0","0","3","7","25","19","0","3","1","0.850394","108","108","4","0","0.850394","108","0","0","4","6","0","19","122","0","0","0","0","3","0","3","0","3","0","0","3","0","19","122","0","0","0","0","3","0","3","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L502","ContainerManagementProtocol","org.apache.hadoop.yarn.api.ContainerManagementProtocol","L158","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\api\ContainerManagementProtocol.java","50","1","173","2","0","0","0","0","0","0","0","0","0","0","0","3","7","27","16","0","3","1","0.871212","115","115","4","0","0.871212","115","0","0","7","14","0","17","124","0","1","0","1","3","0","3","0","3","0","0","3","0","17","124","0","1","0","1","3","0","3","0","3","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8118","ApplicationClientProtocolPB","org.apache.hadoop.yarn.api.ApplicationClientProtocolPB","L158","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-common\src\main\java\org\apache\hadoop\yarn\api\ApplicationClientProtocolPB.java","25","1","31","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","6","7","0","0","0","0","0","0","0","0","0","0","0","0","0","6","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8119","ApplicationHistoryProtocolPB","org.apache.hadoop.yarn.api.ApplicationHistoryProtocolPB","L158","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-common\src\main\java\org\apache\hadoop\yarn\api\ApplicationHistoryProtocolPB.java","26","1","33","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","8","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8120","ApplicationMasterProtocolPB","org.apache.hadoop.yarn.api.ApplicationMasterProtocolPB","L158","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-common\src\main\java\org\apache\hadoop\yarn\api\ApplicationMasterProtocolPB.java","25","1","31","2","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","6","7","0","0","0","0","0","0","0","0","0","0","0","0","0","6","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8121","ContainerManagementProtocolPB","org.apache.hadoop.yarn.api.ContainerManagementProtocolPB","L158","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-common\src\main\java\org\apache\hadoop\yarn\api\ContainerManagementProtocolPB.java","25","1","32","2","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","1","0","0","0","0","1","1","0","7","8","0","0","0","0","0","0","0","0","0","0","0","0","0","7","8","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L9679","RecordFactory","org.apache.hadoop.yarn.factories.RecordFactory","L9671","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-yarn-project\hadoop-yarn\hadoop-yarn-api\src\main\java\org\apache\hadoop\yarn\factories\RecordFactory.java","24","1","28","2","0","0","0","0","0","0","0","0","0","0","0","1","0","89","178","0","1","0","0","0","0","0","2","0","0","0","0","1","1","0","5","5","0","0","0","0","1","0","1","0","1","0","0","1","0","5","5","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
