"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L72983","ClassWordCount","testjar.ClassWordCount","L72974","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-jobclient\src\test\java\testjar\ClassWordCount.java","43","1","60","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.666667","4","4","1","0","0.6","12","0","0","0","0","0","2","12","0","0","0","0","0","0","0","0","0","0","0","0","0","8","18","2","0","0","0","0","0","0","0","6","0","0","6","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L72994","CustomOutputCommitter","testjar.CustomOutputCommitter","L72974","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-jobclient\src\test\java\testjar\CustomOutputCommitter.java","23","1","25","2","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0.333333","1","0","0","1","0.333333","1","3","3","0","0","1","2","3","5","9","0","0","0","0","0","0","42","0","3","35","0","2","3","5","9","0","0","0","0","0","0","42","0","3","35","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L72996","ExternalIdentityReducer","testjar.ExternalIdentityReducer","L72974","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-jobclient\src\test\java\testjar\ExternalIdentityReducer.java","31","1","52","2","0","0","0","0","0","0","0","0","3","1","1","4","4","0","0","1","4","0","0","0","0","0","4","0","0","2","2","0","0","1","17","22","0","0","0","0","3","0","3","0","3","2","0","3","0","17","22","0","0","0","0","3","0","3","0","3","2","0","3","0","0","0","10","0","2","0","0","0","0","0","0","1","0","0","0","0","0","2","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L73006","ExternalMapperReducer","testjar.ExternalMapperReducer","L72974","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-jobclient\src\test\java\testjar\ExternalMapperReducer.java","34","1","73","2","0","0","0","0","0","0","0","0","4","1","1","6","6","0","0","2","6","0","0","0","0","0","5","0","0","2","3","0","0","2","32","40","0","0","0","0","4","0","4","0","4","9","0","4","0","32","40","0","0","0","0","4","0","4","0","4","9","0","4","0","0","0","13","0","2","0","0","0","0","0","0","1","0","0","0","0","0","2","11","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L73008","ExternalWritable","testjar.ExternalWritable","L72974","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-jobclient\src\test\java\testjar\ExternalWritable.java","32","1","86","2","0","0","0","0","0","0","0","0","1","1","1","12","0","1","1","0","8","0.111111","0.108696","5","5","1","8","0.108696","5","0","0","0","0","0","41","55","1","1","1","1","8","0","8","1","8","16","0","8","1","41","55","1","1","1","1","8","0","8","1","8","16","0","8","1","0","0","19","0","4","0","0","0","0","0","0","0","0","0","2","0","0","1","19","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0"
"L73051","JobKillCommitter","testjar.JobKillCommitter","L72974","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-jobclient\src\test\java\testjar\JobKillCommitter.java","31","1","119","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0.378049","31","0","0","0","0","0","2","39","0","0","0","0","0","0","0","0","0","0","0","0","0","51","89","5","27","0","0","9","0","9","0","155","5","3","119","0","0","0","39","0","4","0","0","0","0","0","0","1","0","0","0","0","0","4","28","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","0","0"
"L73105","UserNamePermission","testjar.UserNamePermission","L72974","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-jobclient\src\test\java\testjar\UserNamePermission.java","42","1","98","2","0","0","0","0","0","0","0","0","1","0","0","2","6","1","0","12","13","0","0","0","0","0","2","0.0652174","3","0","0","0","0","0","21","32","1","0","1","0","1","0","1","0","1","14","0","1","0","43","57","2","0","2","0","3","0","3","0","11","21","0","5","0","0","1","16","1","6","0","0","0","0","0","0","0","0","0","1","1","0","1","15","0","0","0","0","1","0","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L23508","ExternalMapReduce","testshell.ExternalMapReduce","L73134","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-jobclient\src\test\java\testshell\ExternalMapReduce.java","46","1","141","2","0","0","0","0","0","0","0","0","4","1","1","6","6","1","0","8","12","0.2","0.146341","6","4","1","4","0.133333","12","0","0","0","0","0","35","47","0","0","0","0","4","0","4","0","4","20","0","4","0","78","96","0","0","0","0","6","0","6","0","10","39","0","10","0","0","1","22","3","3","0","0","0","0","0","0","1","0","0","0","0","0","3","19","0","0","0","2","1","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0"
"L72986","ClassWordCount$MapClass","testjar.ClassWordCount$MapClass","L72983","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-jobclient\src\test\java\testjar\ClassWordCount.java","50","3","52","4","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0.625","5","5","1","0","0.625","5","3","4","0","0","2","3","3","2","0","0","0","0","0","0","0","3","0","0","3","0","3","3","2","0","0","0","0","0","0","0","3","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L72990","ClassWordCount$Reduce","testjar.ClassWordCount$Reduce","L72983","L103","C:\Users\Sarkar\Desktop\sm\hadoop-release-2.5.0\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-jobclient\src\test\java\testjar\ClassWordCount.java","57","3","59","4","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","1","0.5","3","3","1","0","0.5","3","3","4","0","0","2","3","3","0","0","0","0","0","0","0","0","3","0","0","3","0","3","3","0","0","0","0","0","0","0","0","3","0","0","3","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
