"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L5737","ClusterStory","org.apache.hadoop.tools.rumen.ClusterStory","L5642","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.7.2\hadoop-tools\hadoop-rumen\src\main\java\org\apache\hadoop\tools\rumen\ClusterStory.java","27","1","83","2","0","0","0","0","0","0","0","0","0","0","0","8","3","2","4","0","8","1","0.814815","44","44","9","0","0.814815","44","0","0","1","2","0","10","57","0","7","0","7","8","0","8","0","8","0","0","8","0","10","57","0","7","0","7","8","0","8","0","8","0","0","8","0","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0"
"L6602","DeepCompare","org.apache.hadoop.tools.rumen.DeepCompare","L5642","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.7.2\hadoop-tools\hadoop-rumen\src\main\java\org\apache\hadoop\tools\rumen\DeepCompare.java","28","1","45","2","0","0","0","0","0","0","0","0","0","0","0","1","2","8","1","0","1","1","0.846154","22","22","2","0","0.846154","22","0","0","8","11","0","4","18","0","0","0","0","1","0","1","0","1","0","0","1","0","4","18","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6633","InputDemuxer","org.apache.hadoop.tools.rumen.InputDemuxer","L5642","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.7.2\hadoop-tools\hadoop-rumen\src\main\java\org\apache\hadoop\tools\rumen\InputDemuxer.java","31","1","56","2","0","0","0","0","0","0","0","0","0","0","0","2","1","4","1","0","2","1","0.862069","25","25","3","0","0.862069","25","0","0","2","2","0","4","26","0","1","0","1","2","0","2","0","2","0","0","2","0","4","26","0","1","0","1","2","0","2","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6187","JobHistoryParser","org.apache.hadoop.tools.rumen.JobHistoryParser","L5642","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.7.2\hadoop-tools\hadoop-rumen\src\main\java\org\apache\hadoop\tools\rumen\JobHistoryParser.java","28","1","36","2","0","0","0","0","0","0","0","0","0","0","0","1","0","7","1","0","1","1","0.727273","8","8","2","0","0.727273","8","0","0","2","2","0","3","9","0","0","0","0","1","0","1","0","1","0","0","1","0","3","9","0","0","0","0","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L8386","JobStory","org.apache.hadoop.tools.rumen.JobStory","L5642","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.7.2\hadoop-tools\hadoop-rumen\src\main\java\org\apache\hadoop\tools\rumen\JobStory.java","30","1","124","2","0","0","0","0","0","0","0","0","0","0","0","13","3","33","32","0","13","1","0.767442","66","66","14","0","0.767442","66","0","0","4","6","0","20","95","0","13","0","13","13","0","13","0","13","0","0","13","0","20","95","0","13","0","13","13","0","13","0","13","0","0","13","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0"
"L8428","JobStoryProducer","org.apache.hadoop.tools.rumen.JobStoryProducer","L5642","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.7.2\hadoop-tools\hadoop-rumen\src\main\java\org\apache\hadoop\tools\rumen\JobStoryProducer.java","26","1","33","2","0","0","0","0","0","0","0","0","0","0","0","1","1","15","3","0","1","1","0.727273","8","8","2","0","0.727273","8","0","0","3","3","0","3","8","0","1","0","1","1","0","1","0","1","0","0","1","0","3","8","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L6663","Outputter<T extends Object>","org.apache.hadoop.tools.rumen.Outputter","L5642","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.7.2\hadoop-tools\hadoop-rumen\src\main\java\org\apache\hadoop\tools\rumen\Outputter.java","29","1","45","2","0","0","0","0","0","0","0","0","0","0","0","2","0","5","7","0","2","1","0.777778","14","14","3","0","0.777778","14","0","0","1","1","0","4","17","0","0","0","0","2","0","2","0","2","0","0","2","0","4","17","0","0","0","0","2","0","2","0","2","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L11216","FileSystemStore","org.apache.hadoop.fs.s3.FileSystemStore","L11165","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.7.2\hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3\FileSystemStore.java","34","1","67","2","0","0","0","0","0","0","0","0","0","0","0","14","2","9","19","0","14","0.2","0.37931","11","11","3","12","0.37931","11","0","0","2","2","0","18","34","0","1","0","1","14","0","14","0","14","0","0","14","0","18","34","0","1","0","1","14","0","14","0","14","0","0","14","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","25","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L12850","NativeFileSystemStore","org.apache.hadoop.fs.s3native.NativeFileSystemStore","L12817","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.7.2\hadoop-tools\hadoop-aws\src\main\java\org\apache\hadoop\fs\s3native\NativeFileSystemStore.java","35","1","67","2","0","0","0","0","0","0","0","0","0","0","0","12","2","8","14","0","12","0.230769","0.433333","13","13","3","10","0.433333","13","0","0","2","3","0","17","33","0","0","0","0","12","0","12","0","12","0","0","12","0","17","33","0","0","0","0","12","0","12","0","12","0","0","12","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","21","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"L13979","KeyProvider","org.apache.hadoop.fs.azure.KeyProvider","L13508","L103","C:\Users\Jasmine\Desktop\Software_Measurement\Hadoop-Releases\hadoop-rel-release-2.7.2\hadoop-tools\hadoop-azure\src\main\java\org\apache\hadoop\fs\azure\KeyProvider.java","27","1","43","2","0","0","0","0","0","0","0","0","0","0","0","1","1","3","1","0","1","1","0.75","15","15","2","0","0.75","15","0","0","1","2","0","5","17","0","1","0","1","1","0","1","0","1","0","0","1","0","5","17","0","1","0","1","1","0","1","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
