"ID","Name","LongName","Parent","Component","Path","Line","Column","EndLine","EndColumn","CC","CCL","CCO","CI","CLC","CLLC","LDC","LLDC","LCOM5","NL","NLE","WMC","CBO","CBOI","NII","NOI","RFC","AD","CD","CLOC","DLOC","PDA","PUA","TCD","TCLOC","DIT","NOA","NOC","NOD","NOP","LLOC","LOC","NA","NG","NLA","NLG","NLM","NLPA","NLPM","NLS","NM","NOS","NPA","NPM","NS","TLLOC","TLOC","TNA","TNG","TNLA","TNLG","TNLM","TNLPA","TNLPM","TNLS","TNM","TNOS","TNPA","TNPM","TNS","WarningBlocker","WarningCritical","WarningInfo","WarningMajor","WarningMinor","Android Rules","Basic Rules","Brace Rules","Clone Implementation Rules","Clone Metric Rules","Code Size Rules","Cohesion Metric Rules","Comment Rules","Complexity Metric Rules","Controversial Rules","Coupling Metric Rules","Coupling Rules","Design Rules","Documentation Metric Rules","Empty Code Rules","Finalizer Rules","Import Statement Rules","Inheritance Metric Rules","J2EE Rules","JUnit Rules","Jakarta Commons Logging Rules","Java Logging Rules","JavaBean Rules","MigratingToJUnit4 Rules","Migration Rules","Migration13 Rules","Migration14 Rules","Migration15 Rules","Naming Rules","Optimization Rules","Runtime Rules","Security Code Guideline Rules","Size Metric Rules","Strict Exception Rules","String and StringBuffer Rules","Type Resolution Rules","Unnecessary and Unused Code Rules","Vulnerability Rules"
"L6828","JobPriority","org.apache.hadoop.mapred.JobPriority","L215","L103","C:\Users\Sarkar\Desktop\sm\hadoop-rel-release-2.6.5\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-core\src\main\java\org\apache\hadoop\mapred\JobPriority.java","26","1","36","2","0","0","0","0","0","0","0","0","0","0","0","0","0","10","0","0","0","1","0.25","3","3","1","0","0.25","3","0","0","0","0","0","9","11","5","0","5","0","0","5","0","0","0","0","5","0","0","9","11","5","0","5","0","0","5","0","0","0","0","5","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L14938","Operation","org.apache.hadoop.mapred.Operation","L215","L103","C:\Users\Sarkar\Desktop\sm\hadoop-rel-release-2.6.5\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-core\src\main\java\org\apache\hadoop\mapred\Operation.java","27","1","45","2","0","0","0","0","0","0","0","0","0","0","0","1","2","0","0","0","1","1","0.190476","4","4","1","0","0.190476","4","0","0","0","0","0","17","19","10","0","10","0","1","10","0","0","1","2","10","0","0","17","19","10","0","10","0","1","10","0","0","1","2","10","0","0","0","0","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","0","0"
"L4634","QueueACL","org.apache.hadoop.mapred.QueueACL","L215","L103","C:\Users\Sarkar\Desktop\sm\hadoop-rel-release-2.6.5\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-core\src\main\java\org\apache\hadoop\mapred\QueueACL.java","27","1","48","2","0","0","0","0","0","0","0","0","0","0","0","2","0","6","7","0","2","0.5","0.454545","10","10","1","1","0.454545","10","0","0","0","0","0","12","22","3","1","3","1","2","2","1","0","2","2","2","1","0","12","22","3","1","3","1","2","2","1","0","2","2","2","1","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L19763","TIPStatus","org.apache.hadoop.mapred.TIPStatus","L215","L103","C:\Users\Sarkar\Desktop\sm\hadoop-rel-release-2.6.5\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-core\src\main\java\org\apache\hadoop\mapred\TIPStatus.java","25","1","29","2","0","0","0","0","0","0","0","0","0","0","0","0","0","6","0","0","0","1","0.285714","2","2","1","0","0.285714","2","0","0","0","0","0","5","5","5","0","5","0","0","5","0","0","0","0","5","0","0","5","5","5","0","5","0","0","5","0","0","0","0","5","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L4413","FileSystemCounter","org.apache.hadoop.mapreduce.FileSystemCounter","L27937","L103","C:\Users\Sarkar\Desktop\sm\hadoop-rel-release-2.6.5\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-core\src\main\java\org\apache\hadoop\mapreduce\FileSystemCounter.java","23","1","30","2","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","8","8","5","0","5","0","0","5","0","0","0","0","5","0","0","8","8","5","0","5","0","0","5","0","0","0","0","5","0","0","0","0","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L5822","JobACL","org.apache.hadoop.mapreduce.JobACL","L27937","L103","C:\Users\Sarkar\Desktop\sm\hadoop-rel-release-2.6.5\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-core\src\main\java\org\apache\hadoop\mapreduce\JobACL.java","25","1","56","2","0","0","0","0","0","0","0","0","0","0","0","2","0","29","12","0","2","1","0.6","18","18","2","0","0.6","18","0","0","0","0","0","12","32","3","1","3","1","2","2","1","0","2","2","2","1","0","12","32","3","1","3","1","2","2","1","0","2","2","2","1","0","0","0","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L20262","JobCounter","org.apache.hadoop.mapreduce.JobCounter","L27937","L103","C:\Users\Sarkar\Desktop\sm\hadoop-rel-release-2.6.5\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-core\src\main\java\org\apache\hadoop\mapreduce\JobCounter.java","25","1","55","2","0","0","0","0","0","0","0","0","0","0","0","0","0","16","0","0","0","1","0.03125","1","1","1","0","0.03125","1","0","0","0","0","0","31","31","23","0","23","0","0","23","0","0","0","0","23","0","0","31","31","23","0","23","0","0","23","0","0","0","0","23","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0"
"L50023","JobPriority","org.apache.hadoop.mapreduce.JobPriority","L27937","L103","C:\Users\Sarkar\Desktop\sm\hadoop-rel-release-2.6.5\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-core\src\main\java\org\apache\hadoop\mapreduce\JobPriority.java","27","1","35","2","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","1","0.307692","4","4","1","0","0.307692","4","0","0","0","0","0","9","9","5","0","5","0","0","5","0","0","0","0","5","0","0","9","9","5","0","5","0","0","5","0","0","0","0","5","0","0","0","0","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L4607","QueueState","org.apache.hadoop.mapreduce.QueueState","L27937","L103","C:\Users\Sarkar\Desktop\sm\hadoop-rel-release-2.6.5\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-core\src\main\java\org\apache\hadoop\mapreduce\QueueState.java","29","1","68","2","0","0","0","0","0","0","0","0","1","1","1","5","0","9","12","0","4","0.5","0.166667","6","6","2","2","0.166667","6","0","0","0","0","0","30","40","5","2","5","2","4","3","3","0","4","7","3","3","0","30","40","5","2","5","2","4","3","3","0","4","7","3","3","0","0","0","13","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","0","0","0","0","0"
"L20259","TaskCounter","org.apache.hadoop.mapreduce.TaskCounter","L27937","L103","C:\Users\Sarkar\Desktop\sm\hadoop-rel-release-2.6.5\hadoop-mapreduce-project\hadoop-mapreduce-client\hadoop-mapreduce-client-core\src\main\java\org\apache\hadoop\mapreduce\TaskCounter.java","25","1","51","2","0","0","0","0","0","0","0","0","0","0","0","0","0","24","0","0","0","1","0.0357143","1","1","1","0","0.0357143","1","0","0","0","0","0","27","27","23","0","23","0","0","23","0","0","0","0","23","0","0","27","27","23","0","23","0","0","23","0","0","0","0","23","0","0","0","0","9","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","7","0","0","0","0","0"
